Date,Close,High,Low,Open,Volume
2011-03-28,10.50023365020752,10.616491155654336,10.50023365020752,10.581434041888315,309355200
2011-03-29,10.515814781188965,10.515814781188965,10.3689967150838,10.416937014184015,352900800
2011-03-30,10.446002960205078,10.513420871336464,10.410347364661902,10.506228784711888,329406000
2011-03-31,10.44240665435791,10.481058613872861,10.368997614934685,10.377985921734473,274019200
2011-04-01,10.324053764343262,10.534694136474858,10.286300309311121,10.520312363190351,418661600
2011-04-04,10.223077774047852,10.325251960816926,10.139481075827046,10.316562890416211,460084800
2011-04-05,10.15416431427002,10.254839930605533,10.067571234735414,10.097234893157868,482731200
2011-04-06,10.128693580627441,10.304276800788912,10.101727060147692,10.223976513140288,402539200
2011-04-07,10.129894256591797,10.200306135878566,10.068469085047276,10.13049273036238,373447200
2011-04-08,10.039402961730957,10.19191452240245,10.00614447055502,10.185023274699931,377535200
2011-04-11,9.911761283874512,10.057680039790567,9.88839040799003,10.009439703614499,398946800
2011-04-12,9.959702491760254,9.999552995966448,9.893783179393637,9.902472248714801,425639200
2011-04-13,10.071466445922852,10.071765682813831,9.963299510721388,10.038207145598944,346220000
2011-04-14,9.960304260253906,10.067571896635542,9.94951812929006,10.031616259859023,301800800
2011-04-15,9.811685562133789,9.996857174568202,9.791910325900322,9.98666951948806,453605600
2011-04-18,9.943224906921387,9.954611111421311,9.592957701104734,9.770938055162715,609898800
2011-04-19,10.123297691345215,10.126892532845154,9.939024659879445,9.98067377500951,419378400
2011-04-20,10.259631156921387,10.359707470427114,10.232365402111279,10.292590412266406,700666400
2011-04-21,10.508025169372559,10.640761514667004,10.442705925891586,10.636865834948868,753810400
2011-04-25,10.577239036560059,10.599412164769149,10.49603864556362,10.497237993132828,266546000
2011-04-26,10.499638557434082,10.63656905077108,10.467577802046703,10.595519986481456,338800000
2011-04-27,10.491547584533691,10.55746691475405,10.400161113300404,10.554170508188758,356213200
2011-04-28,10.38967227935791,10.479560148973064,10.352817340703371,10.372892612956178,360959200
2011-04-29,10.490945816040039,10.605403896890103,10.387273062021325,10.390569467551384,1006345200
2011-05-02,10.375589370727539,10.501134436646872,10.352218491664727,10.479261342096406,442713600
2011-05-03,10.433115005493164,10.483752428714338,10.35581030492582,10.426823032224329,313348000
2011-05-04,10.474172592163086,10.541888964392069,10.393571426900778,10.434920539168678,389250400
2011-05-05,10.38967227935791,10.515516576976776,10.368697696355746,10.439110367616685,335969200
2011-05-06,10.38697624206543,10.487052576928884,10.373492980192077,10.477764232098137,280134400
2011-05-09,10.415140151977539,10.463081255590582,10.383079403919691,10.422929911232142,204747200
2011-05-10,10.470566749572754,10.477758031675922,10.386970095368786,10.45378709133203,282091600
2011-05-11,10.404057502746582,10.487055757830701,10.344431735516295,10.457692129724593,336000000
2011-05-12,10.384278297424316,10.400758727423412,10.255438427400307,10.370795836704112,322000000
2011-05-13,10.202404975891113,10.374691829319163,10.19791082148905,10.357014448624982,326116000
2011-05-16,9.986671447753906,10.22397912896724,9.965696859715527,10.16345406082536,449775200
2011-05-17,10.07176399230957,10.07176399230957,9.909664035259318,9.947717520240893,452334400
2011-05-18,10.1835298538208,10.218886220984462,10.06757313102616,10.081655670479602,334776400
2011-05-19,10.203303337097168,10.2596334807809,10.147571667185884,10.249745861957487,261170000
2011-05-20,10.04419994354248,10.21588831090098,10.038207204701209,10.174239176003471,337968400
2011-05-23,10.01962661743164,10.066968439546644,9.870411466896577,9.886891093567234,383600000
2011-05-24,9.953411102294922,10.064574398082561,9.927942364438827,10.052588921421204,321927200
2011-05-25,10.090938568115234,10.144273127117325,9.973184086850118,9.990562223986712,294224000
2011-05-26,10.03760814666748,10.094238329787304,10.020529240651914,10.066672530623325,222560800
2011-05-27,10.109814643859863,10.116406654114192,10.016929626934823,10.031611431543018,203599200
2011-05-31,10.422032356262207,10.422032356262207,10.217384736569645,10.220381905924977,417754400
2011-06-01,10.352521896362305,10.55087681158623,10.326754711725814,10.453198339237936,554682800
2011-06-02,10.370195388793945,10.426526325401415,10.316262347463978,10.382180864688838,338783200
2011-06-03,10.290493965148926,10.347124140755463,10.247647087345038,10.282704205619895,313250000
2011-06-06,10.128693580627441,10.398660422566557,10.121802332084476,10.35821064184693,461941200
2011-06-07,9.948915481567383,10.134087083079391,9.944720565017118,10.132589298646414,529785200
2011-06-08,9.954909324645996,10.031614778455037,9.907269053068323,9.941126825977857,333723600
2011-06-09,9.932439804077148,9.997759068032165,9.910266666704258,9.985174314388091,275088800
2011-06-10,9.764947891235352,9.937534825519776,9.753261646643574,9.904275514179536,433955200
2011-06-13,9.785919189453125,9.837155910006919,9.740075934236366,9.803896607144546,329473200
2011-06-14,9.96090030670166,9.985170493679137,9.86711596448659,9.88779050894159,334569200
